Measure,Input networks,Input nodesets,Input parameters,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
complexity,,,,0.04503837,0.071806915,0.07143328,0.045318317,0.043431208,0.069278196,0.042420752,0.06800842,0.04379017,0.043276638,0.0449106,0.04352562,0.043354444
nodesetSize,,Agent,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
averageDistance,Agent x Agent,,,53070.926,61186.65,58960.152,70087.5,66067.625,65813.78,67717.54,71871.86,74829.5,69092.84,68870.84,98115.22,110188.555
averageSpeed,Agent x Agent,,,1.884271E-5,1.6343434E-5,1.6960608E-5,1.4267879E-5,1.5136006E-5,1.5194386E-5,1.4767223E-5,1.3913652E-5,1.3363713E-5,1.44732785E-5,1.4519933E-5,1.0192099E-5,9.075353E-6
betweennessCentralization,Agent x Agent,,,0.15310812,0.17749232,0.3145459,0.14981203,0.30992666,0.26147237,0.38289693,0.4240714,0.34478062,0.5227666,0.34201375,0.3938307,0.34749058
biDirectionalEdgeCount,Agent x Agent,,,2648.0,2705.0,2661.0,2660.0,2637.0,2638.0,2633.0,2648.0,2717.0,2684.0,2787.0,2696.0,2682.0
biDirectionalEdgeCount,Agent x Agent - All Communication,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biDirectionalEdgeCount,Agent x Agent - Reciprocal,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cliqueCount,Agent x Agent,,,732.0,775.0,787.0,851.0,817.0,689.0,730.0,746.0,833.0,737.0,909.0,766.0,831.0
closenessCentralization,Agent x Agent,,,0.025797047,0.014454112,0.028749226,0.01880484,0.006247315,0.01625909,0.018532738,0.0164621,0.014367297,0.018650275,0.018630967,0.012363652,0.010702518
clusteringCoefficient,Agent x Agent,,,0.7226916,0.73113304,0.73301893,0.7204546,0.71961945,0.7335133,0.72200483,0.7171562,0.70842344,0.71146476,0.7153469,0.71068925,0.7126515
columnBreadth,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
columnCount,Agent x Agent,,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
columnRedundancy,Agent x Agent,,,0.17304496,0.17500816,0.17404152,0.17400838,0.16657037,0.16866885,0.16257614,0.16552399,0.16797441,0.16590296,0.17243108,0.16678172,0.16599715
connectedness,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
density,Agent x Agent,,,0.17963876,0.17972244,0.17878848,0.18075533,0.17323685,0.17339231,0.16921167,0.17021209,0.17467411,0.1726257,0.17914338,0.17361887,0.17293607
diameter,Agent x Agent,,,218025.42,241537.17,240823.66,257464.45,269322.34,238774.62,275099.62,291839.38,252120.0,244540.9,279818.53,386423.44,584589.4
diameterReachable,Agent x Agent,,,218025.42,241537.17,240823.66,257464.45,269322.34,238774.62,275099.62,291839.38,252120.0,244540.9,279818.53,386423.44,584589.4
diffusion,Agent x Agent,,,0.9942953,0.99434465,0.9942365,0.9941029,0.9940687,0.9940976,0.9940749,0.9940964,0.99414927,0.9941027,0.99416727,0.9939814,0.9940301
echoChamberness,Agent x Agent,,,0.5642437,0.56419224,0.56321096,0.5654103,0.55745965,0.55748546,0.5531082,0.55405664,0.55899704,0.55680335,0.5637245,0.5578691,0.55713683
edgeCount,Agent x Agent,,,2735.0,5504.0,5413.0,2752.0,2729.0,5371.0,2726.0,5393.0,2814.0,2781.0,2886.0,2797.0,2786.0
edgeSum,Agent x Agent,,,3.92888218E9,7.8239258E9,8.1824963E9,5.0421883E9,5.6270474E9,1.06577306E10,5.8710374E9,1.07081667E10,6.3038607E9,6.8150369E9,7.5074335E9,7.7406295E9,8.1067986E9
efficiency,Agent x Agent,,,0.833647,0.83177197,0.83270603,0.83284044,0.8401948,0.83816093,0.8441567,0.8412943,0.83882433,0.8409192,0.83438075,0.84015745,0.84104615
eigenvectorCentralization,Agent x Agent,,,0.9830727,0.9860534,0.988589,0.9885881,0.9886803,0.99037486,0.9907416,0.99083036,0.9907136,0.9912573,0.99128294,0.9913479,0.991695
fragmentation,Agent x Agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
globalEfficiency,Agent x Agent,,,0.03301662,0.01729516,0.033486754,0.029445175,0.008163755,0.020129524,0.021238236,0.017672176,0.016789908,0.020862376,0.020896139,0.017430166,0.014175677
hierarchy,Agent x Agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inClosenessCentralization,Agent x Agent,,,0.0,1.0238453E-17,2.0410253E-14,0.0,0.0,1.1197757E-16,2.2517378E-16,1.8895958E-15,1.1258689E-16,0.0,0.0,0.0,2.2517378E-16
inDegreeCentralization,Agent x Agent,,,0.023020796,0.021326492,0.019652722,0.019756798,0.019925874,0.018875804,0.018437231,0.018284569,0.018296449,0.017972695,0.017933168,0.01781709,0.017624125
interdependence,Agent x Agent,,,3.776435E-4,3.6954915E-4,3.756574E-4,3.7593985E-4,3.792188E-4,3.789314E-4,3.7979492E-4,3.7750095E-4,3.68053E-4,3.7257824E-4,3.5880876E-4,3.7091988E-4,3.7285607E-4
isolateCount,Agent x Agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralEdgeCount,Agent x Agent,,,0.64351004,0.67369187,0.61703306,0.5915698,0.5877611,0.65686095,0.6371974,0.6437975,0.6403696,0.6533621,0.64102566,0.59492314,0.62167984
localEfficiency,Agent x Agent,,,0.142453,0.13090713,0.12852924,0.1334103,0.13567981,0.13386701,0.13023104,0.12839794,0.13433403,0.13549143,0.11059161,0.12940055,0.11699823
minimumSpeed,Agent x Agent,,,4.586621E-6,4.1401495E-6,4.152416E-6,3.8840312E-6,3.7130228E-6,4.18805E-6,3.6350468E-6,3.4265424E-6,3.966365E-6,4.0892955E-6,3.5737448E-6,2.5878348E-6,1.7106024E-6
networkAssortativity,Agent x Agent,,,0.1870303,0.16934964,0.1668614,0.16549407,0.14780755,0.13808298,0.14194615,0.14836526,0.15320225,0.14790946,0.15154383,0.15637541,0.15733013
nodeCount,Agent x Agent,,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
outDegreeCentralization,Agent x Agent,,,0.023020796,0.021326492,0.019652722,0.019756798,0.019925874,0.018875804,0.018437231,0.018284569,0.018296449,0.017972695,0.017933168,0.01781709,0.017624125
pooledEdgeCount,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
radialityCentrality,Agent x Agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reciprocity,Agent x Agent,,,1.0,0.9992612,0.999249,1.0,1.0,0.9992424,1.0,0.9992453,1.0,1.0,1.0,1.0,1.0
reciprocity,Agent x Agent - All Communication,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reciprocity,Agent x Agent - Reciprocal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rowBreadth,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rowCount,Agent x Agent,,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
rowRedundancy,Agent x Agent,,,0.17304496,0.17500816,0.17404152,0.17400838,0.16657037,0.16866885,0.16257614,0.16552399,0.16797441,0.16590296,0.17243108,0.16678172,0.16599715
sequentialEdgeCount,Agent x Agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharedSituationAwareness,Agent x Agent,,,0.005747128,0.005714283,0.0057471273,0.005747128,0.0056497175,0.0056818174,0.005586592,0.005617977,0.005586593,0.005586593,0.0055865897,0.005586592,0.0055865934
skipEdgeCount,Agent x Agent,,,0.9667276,0.9818314,0.98208016,0.9654797,0.96518874,0.9815677,0.9640499,0.98127204,0.9648188,0.9644013,0.96465695,0.9628173,0.9615937
spanOfControl,Agent x Agent,,,-9497454.0,-4377192.0,-2341599.8,1366327.8,7119161.0,1.1432945E7,9089293.0,1.1747535E7,-1.0758707E7,-7304804.0,-1669202.6,345231.88,2931534.8
strongComponentCount,Agent x Agent,,,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
totalDegreeCentralization,Agent x Agent,,,0.023020796,0.01866269,0.016953519,0.019756798,0.019925874,0.016196193,0.018437231,0.01562994,0.018296449,0.017972695,0.017933168,0.01781709,0.017624125
transitivity,Agent x Agent,,,0.49109244,0.49231008,0.49307752,0.5025588,0.50195104,0.50216043,0.49476334,0.49400544,0.49802518,0.49729377,0.50488454,0.50384504,0.49638703
uniDirectionalEdgeCount,Agent x Agent,,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
uniDirectionalEdgeCount,Agent x Agent - All Communication,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniDirectionalEdgeCount,Agent x Agent - Reciprocal,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upperBoundedness,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upperBoundedness,Agent x Agent - All Communication,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upperBoundedness,Agent x Agent - Reciprocal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
weakComponentCount,Agent x Agent,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
weakComponentCount,Agent x Agent - All Communication,,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
weakComponentCount,Agent x Agent - Reciprocal,,,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
weightedDensity,Agent x Agent,,,0.0010102115,7.4543577E-4,6.3210196E-4,7.2097935E-4,6.9377135E-4,5.30465E-4,5.8066123E-4,5.172808E-4,6.0043164E-4,5.702499E-4,5.740401E-4,5.8252766E-4,5.685099E-4
weightedDensity,Agent x Agent - All Communication,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weightedDensity,Agent x Agent - Reciprocal,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
